Sr.no,Channel Name,Videos Count,Subscribers Count,Total Views Count,Next 2 Months Views
1,TED,4843,25400000,"2,77,94,00,250","2,81,39,04,730"
2,Mark Rober,176,57900000,"7,90,86,49,557","8,64,90,60,386"
3,CrashCourse,1577,15900000,"2,02,20,46,516","2,04,36,16,980"
4,Tasty,5530,21400000,"6,24,63,52,421","6,32,98,76,990"
5,How To Basic,631,17600000,"3,86,51,53,706","3,88,33,56,189"
6,Fitness Blender,1446,6600000,"1,30,89,33,298","1,31,35,61,492"
7,Unbox Therapy,2282,24800000,"4,72,02,57,904","4,73,27,00,357"
8,Joe Scott,889,2080000,"40,22,10,455","40,80,20,397"
9,CGP Grey,188,64800000,"1,06,77,26,064","1,09,00,49,006"
10,Bon Appétit,8,91,"70,526","70,589"
11,Jubliee,1249,9210000,"2,54,05,33,180","2,57,74,21,002"
12,Vox,1748,12300000,"3,58,59,98,467","3,63,13,19,579"
13,Binging with Babish,844,10300000,"2,82,14,90,301","2,85,34,14,906"
14,The Financial Diet,1262,1150000,"14,49,25,737","14,94,28,692"
15,Primitive Technology,1,12,419,429
16,Every Frame a Painting,31,2140000,"11,18,28,436","11,22,93,161"
17,Matt D'Avella,427,3900000,"30,61,66,986","30,88,67,823"
18,SciShow,3725,8029999,"2,04,95,30,394","2,07,43,94,604"
19,Linus Tech Tips,7025,15900000,"8,13,79,71,195","8,26,40,87,645"
20,The Slow Mo Guys,350,15100000,"2,64,16,52,303","2,65,80,56,827"
21,Markiplier,5649,37000000,"21,89,91,10,149","22,13,91,35,237"
22,TWiT Tech Podcast Network,19846,269000,"7,65,63,826","7,64,54,295"
23,Jenna Marbles,250,19600000,"1,84,08,20,617","1,84,60,93,918"
24,MinutePhysics,281,5810000,"55,24,57,983","55,50,21,765"
25,Nerdwriter1,293,3910000,"24,20,30,213","24,30,57,199"
26,PBS Space Time,398,3150000,"47,51,78,366","48,32,85,932"
27,Numberphile,743,4570000,"68,10,74,287","68,75,61,901"
28,BrainCraft,256,616000,"2,95,80,101","2,96,80,259"
29,Vihart ,137,1450000,"15,46,76,477","15,52,11,606"
30,Wendover Productions,238,4650000,"71,59,12,741","72,89,95,431"
31,Epicurious,1670,5470000,"1,53,87,62,767","1,55,82,66,251"
32,The King of Random,63,2090,"18,31,539","3,69,50,401"
33,Exurb1a,83,2870000,"21,21,19,742","21,44,39,117"
34,BeardMeatsFood,667,4450000,"1,41,82,47,653","1,49,66,42,583"
35,CrashCourse Kids,104,824000,"9,80,47,620","9,92,70,786"
36,Captain Disillusion,112,2510000,"26,66,45,846","26,94,11,955"
37,Gordon Ramsay,1793,20900000,"4,23,82,27,655","4,30,23,70,549"
38,LastWeekTonight,639,9600000,"4,00,89,96,823","4,07,76,31,949"
39,SmarterEveryDay,386,11600000,"1,21,14,50,147","1,22,18,66,838"
40,Learn Engineering,417,2880,"3,10,160","3,50,353"
41,Real Engineering,235,4550000,"55,94,44,217","58,55,60,392"
42,LangFocus,202,1500000,"18,38,95,058","18,63,45,629"
43,PsychoLOGICAL,240,13800,"17,18,330","38,68,340"
44,Learn English with Papa Teach Me,645,1650000,"7,29,89,193","7,43,26,138"
45,TechAltar,225,730000,"8,34,04,028","8,40,69,370"
46,Alpha M.,2450,6860000,"1,41,11,21,931","1,42,22,12,911"
47,Hacksmith Industries,1159,15000000,"2,70,58,38,636","2,84,77,26,314"
48,The Real Life Guys,2,9,234,234
49,Big Think,9218,7320000,"82,29,19,224","84,53,68,934"
50,Daily Dose of Internet,1122,19400000,"12,41,50,03,172","13,35,16,80,268"
51,Khan Academy,"8,607",8600000,"2,14,60,54,791","2,14,77,21,958"
52,Kurzgesagt – In a Nutshell,251,23000000,"2,97,25,46,412","3,06,76,68,408"
54,Veritasium,411,16400000,"2,83,39,40,271","2,93,45,69,263"
55,Vsauce,574,22800000,"4,91,58,40,983","5,17,44,36,143"
56,Marques Brownlee,"1,685",19600000,"4,51,66,43,466","4,64,87,69,091"
