user_id,comments,category
1,Great job on the project!,Appreciating
2,Could you clarify the new feature?,Questions
3,I don't like this update at all!,Abusive
4,"Your response was very helpful, thanks!",Appreciating
5,What is the deadline for this task?,Questions
6,The support team was terrible.,Abusive
7,Thanks for your quick response!,Appreciating
8,Can you provide more details on this?,Questions
9,"This is unacceptable, fix it now!",Abusive
10,I appreciate the improvements made.,Appreciating
11,What are the next steps in this process?,Questions
12,Your service has been very disappointing.,Abusive
13,Great effort on the new release!,Appreciating
14,Could you explain this feature in more detail?,Questions
15,This is absolutely terrible.,Abusive
16,Thank you for your excellent service.,Appreciating
17,What is the status of my request?,Questions
18,I had a very bad experience with this.,Abusive
19,I appreciate your help with this issue.,Appreciating
20,Can you update me on the progress?,Questions
21,Your behavior was inappropriate.,Abusive
22,Great work on the recent update!,Appreciating
23,What are the new features in this update?,Questions
24,This is really frustrating.,Abusive
25,I am very thankful for your support.,Appreciating
26,Can you explain how this works?,Questions
27,I had a very negative experience.,Abusive
28,Thanks for addressing my concerns.,Appreciating
29,What should I do next?,Questions
30,Your service has been unacceptable.,Abusive
31,I’m very happy with the results!,Appreciating
32,Could you clarify this aspect?,Questions
33,This is completely unsatisfactory.,Abusive
34,Thank you for your prompt reply.,Appreciating
35,What is the timeline for this?,Questions
36,The way you handled this was unprofessional.,Abusive
37,I appreciate the assistance you provided.,Appreciating
38,Can you provide a detailed explanation?,Questions
39,This issue has been really annoying.,Abusive
40,Your work on this has been fantastic!,Appreciating
41,What are the next steps for us?,Questions
42,I found your response to be rude.,Abusive
43,Thank you for the great support!,Appreciating
44,Can you give me more details?,Questions
45,This has been a very frustrating experience.,Abusive
46,I’m grateful for your assistance.,Appreciating
47,What is the estimated completion time?,Questions
48,The service provided was subpar.,Abusive
49,Your quick response was appreciated.,Appreciating
50,Can you clarify the next steps?,Questions
51,This has been completely unacceptable.,Abusive
52,Thank you for your hard work.,Appreciating
53,What changes are coming next?,Questions
54,I had a very poor experience with this.,Abusive
55,Your support has been top-notch!,Appreciating
56,Could you provide more information?,Questions
57,This situation is quite frustrating.,Abusive
58,I really appreciate your help.,Appreciating
59,What is the status of this issue?,Questions
60,Your service has been quite disappointing.,Abusive
61,Fantastic work on the new release!,Appreciating
62,Could you explain this process in more detail?,Questions
63,This experience was very unsatisfactory.,Abusive
64,Thanks for your excellent help.,Appreciating
65,What is the expected completion date?,Questions
66,Your response was not helpful at all.,Abusive
67,I appreciate the improvements.,Appreciating
68,Can you provide more details about this?,Questions
69,This has been very frustrating for me.,Abusive
70,Great job on the recent update!,Appreciating
71,What are the next steps in this process?,Questions
72,I found your service to be inadequate.,Abusive
73,Thank you for the prompt support.,Appreciating
74,Can you give me a status update?,Questions
75,This has been quite disappointing.,Abusive
76,Your help has been greatly appreciated.,Appreciating
77,Could you provide additional details?,Questions
78,The service was very frustrating.,Abusive
79,I’m really happy with the support provided.,Appreciating
80,What should I expect next?,Questions
81,Your handling of this was unprofessional.,Abusive
82,Thank you for your excellent service.,Appreciating
83,Can you provide a detailed explanation?,Questions
84,This has been very disappointing.,Abusive
85,I appreciate the quick response.,Appreciating
86,What are the upcoming changes?,Questions
87,Your service has been very poor.,Abusive
88,Thank you for addressing my concerns.,Appreciating
89,Can you explain this in more detail?,Questions
90,This has been a very frustrating experience.,Abusive
91,I’m very grateful for your support.,Appreciating
92,What is the current status?,Questions
93,The service has been completely unacceptable.,Abusive
94,Thanks for your excellent help.,Appreciating
95,Can you provide an update on this?,Questions
96,This experience has been very disappointing.,Abusive
97,I appreciate your efforts.,Appreciating
98,What are the next steps for us?,Questions
99,Your service has been quite unsatisfactory.,Abusive
100,Thank you for your support and assistance.,Appreciating
